price,drive
12994,4wd
7899,4wd
36944,4wd
4999,fwd
21590,rwd
51815,4wd
13590,fwd
6100,4wd
9995,fwd
19988,4wd
13351,fwd
6490,fwd
2500,fwd
2000,4wd
43999,4wd
20995,4wd
3900,fwd
7350,4wd
8500,rwd
23998,rwd
10495,fwd
13995,fwd
31990,rwd
6991,fwd
437,4wd
5999,4wd
2900,4wd
24888,4wd
1700,4wd
26490,4wd
31590,rwd
51990,4wd
29990,4wd
16995,fwd
4950,fwd
12500,fwd
20988,4wd
27500,4wd
19588,fwd
6500,fwd
25995,4wd
26000,fwd
12995,4wd
27995,rwd
35789,4wd
18990,fwd
25990,fwd
13500,rwd
27993,4wd
43888,4wd
9983,4wd
11811,fwd
11899,4wd
5000,fwd
13900,fwd
50130,fwd
13988,4wd
11995,4wd
22998,fwd
28000,4wd
33881,fwd
4500,rwd
17590,fwd
21990,fwd
4500,fwd
39990,rwd
30798,rwd
8995,fwd
24990,fwd
6995,fwd
5950,fwd
26988,4wd
14500,rwd
15000,4wd
19873,4wd
22995,rwd
10550,4wd
5750,4wd
8495,4wd
7200,4wd
7995,4wd
25990,fwd
21000,rwd
19900,fwd
7000,4wd
10995,4wd
29590,fwd
13779,fwd
49628,4wd
27254,4wd
20990,fwd
39990,rwd
14881,4wd
33998,4wd
8400,fwd
22495,4wd
8995,fwd
25997,4wd
4499,rwd
29990,fwd
3100,4wd
16590,fwd
4295,4wd
28995,4wd
15495,fwd
351,4wd
29500,4wd
8495,4wd
3695,fwd
57995,4wd
25000,rwd
43995,4wd
19998,rwd
27990,rwd
17995,4wd
6995,4wd
10497,rwd
11988,4wd
24990,fwd
25900,4wd
4400,fwd
24988,4wd
7995,fwd
18999,4wd
11995,4wd
48995,4wd
8995,4wd
14988,fwd
22900,4wd
18000,4wd
3000,fwd
11995,fwd
15795,fwd
29695,4wd
8500,fwd
13900,4wd
22990,rwd
43952,4wd
8800,4wd
36999,4wd
7995,fwd
21990,fwd
7900,fwd
82995,4wd
150,rwd
5500,4wd
6000,rwd
8795,fwd
17590,fwd
6995,4wd
15000,rwd
24988,4wd
15590,fwd
2995,fwd
14995,4wd
46495,4wd
60000,4wd
999,fwd
8990,4wd
16990,fwd
7500,fwd
5000,rwd
4495,fwd
87,fwd
28795,4wd
15299,fwd
6800,rwd
16900,fwd
5300,rwd
33995,4wd
15995,fwd
12900,rwd
15990,fwd
3599,rwd
5500,fwd
39590,4wd
4250,4wd
5499,fwd
4100,rwd
20000,fwd
17900,4wd
6995,4wd
27990,fwd
9500,4wd
30590,rwd
1,fwd
14980,4wd
15900,4wd
45932,4wd
19990,fwd
34990,4wd
8950,fwd
42900,4wd
15900,fwd
12990,fwd
1000,4wd
3490,rwd
67999,4wd
3200,fwd
34999,4wd
75000,rwd
24999,4wd
15000,rwd
9900,rwd
11500,fwd
11995,4wd
295,fwd
42995,4wd
27990,fwd
7800,4wd
18995,4wd
41990,fwd
26990,fwd
8499,fwd
22988,rwd
75,4wd
91000,rwd
2999,fwd
3000,4wd
26990,fwd
6998,4wd
35000,4wd
14995,4wd
4500,4wd
6999,fwd
48999,4wd
31990,4wd
23988,fwd
24988,4wd
42990,fwd
3500,4wd
12200,4wd
24990,fwd
1,4wd
5999,4wd
31995,rwd
7000,4wd
17990,rwd
6000,rwd
44980,4wd
3500,fwd
7497,fwd
5995,4wd
4995,rwd
8995,fwd
13995,fwd
42024,4wd
6900,4wd
10000,rwd
7800,rwd
39990,4wd
9777,4wd
10888,fwd
4900,4wd
29998,rwd
3999,4wd
33990,4wd
75000,4wd
26990,4wd
41994,4wd
36990,4wd
3000,fwd
3988,4wd
5700,rwd
13999,4wd
10500,rwd
4450,fwd
8975,fwd
10980,4wd
41999,4wd
27000,4wd
6000,fwd
3900,fwd
7995,4wd
31990,4wd
17998,rwd
36500,4wd
13900,4wd
9988,fwd
39998,4wd
8595,fwd
19498,rwd
12590,fwd
2000,4wd
6500,4wd
9991,fwd
27998,4wd
12000,rwd
46000,4wd
3500,rwd
7995,fwd
7650,rwd
3500,fwd
18590,fwd
36990,rwd
49500,4wd
19990,fwd
15591,rwd
35999,4wd
16990,fwd
27991,4wd
6995,fwd
8500,fwd
20590,fwd
32900,rwd
27990,fwd
7650,fwd
3950,fwd
41990,4wd
20000,4wd
6000,rwd
8000,4wd
20590,fwd
17519,rwd
16910,fwd
10600,fwd
7500,4wd
6995,fwd
10995,fwd
13995,4wd
77999,4wd
11999,4wd
3590,fwd
5200,fwd
17950,rwd
31990,fwd
4995,4wd
28590,4wd
4155,fwd
3900,fwd
4550,4wd
15995,rwd
8000,4wd
11995,rwd
5995,fwd
9995,fwd
34300,4wd
17405,fwd
4500,4wd
14499,fwd
48590,rwd
5995,fwd
20000,fwd
3500,fwd
17000,4wd
30995,4wd
5990,fwd
33990,4wd
9995,fwd
62000,4wd
1,4wd
4500,fwd
2250,4wd
9995,rwd
14777,fwd
15497,4wd
46988,4wd
12590,fwd
6500,fwd
7000,fwd
30194,4wd
13999,fwd
26900,rwd
17595,4wd
10500,fwd
5500,4wd
21995,fwd
2900,rwd
20000,4wd
14775,4wd
17990,fwd
6200,fwd
20990,rwd
38999,4wd
25995,4wd
3000,4wd
38590,rwd
6999,rwd
18999,fwd
200,4wd
28000,fwd
7500,fwd
6200,fwd
33590,fwd
16913,rwd
32590,4wd
31999,4wd
29990,rwd
11495,fwd
6500,rwd
7995,fwd
13950,4wd
8995,fwd
26590,rwd
5995,4wd
35000,4wd
25990,4wd
23900,4wd
14500,4wd
3200,fwd
15990,fwd
50000,4wd
16981,fwd
11688,fwd
7495,fwd
51975,4wd
6995,fwd
9995,4wd
39590,rwd
4500,rwd
39999,4wd
75000,rwd
13495,4wd
27990,fwd
7200,fwd
12500,fwd
3000,fwd
16999,4wd
26990,rwd
8000,fwd
23850,4wd
27875,rwd
37700,4wd
53456,4wd
11998,4wd
2995,fwd
9500,rwd
23990,fwd
3600,4wd
20990,4wd
32990,rwd
7995,fwd
38999,fwd
47995,4wd
15500,4wd
26990,4wd
31900,fwd
41940,fwd
9900,fwd
5480,rwd
13915,fwd
8950,4wd
6995,fwd
6800,fwd
16888,fwd
6700,4wd
29000,4wd
19995,4wd
2500,fwd
16998,fwd
43995,4wd
34999,rwd
51999,4wd
45995,fwd
27590,rwd
4499,fwd
5000,fwd
30995,4wd
12995,4wd
12995,fwd
27500,rwd
63995,4wd
17999,4wd
6497,4wd
20780,4wd
3300,4wd
20999,rwd
13780,fwd
8500,rwd
3795,4wd
44880,4wd
50,4wd
17900,rwd
219,fwd
25590,4wd
11500,rwd
10399,fwd
17699,4wd
59997,4wd
18600,4wd
3995,4wd
16495,4wd
8995,rwd
5400,fwd
32990,4wd
28985,rwd
13990,fwd
11900,rwd
14599,rwd
42999,4wd
48590,fwd
27590,rwd
34998,4wd
13999,4wd
7000,fwd
43900,rwd
12500,fwd
2500,rwd
23000,rwd
6500,fwd
38900,4wd
35990,rwd
35590,rwd
8000,4wd
36990,4wd
6988,fwd
4900,fwd
12999,rwd
3000,rwd
38995,4wd
37923,4wd
21995,fwd
2595,4wd
29590,fwd
29991,rwd
5995,fwd
16498,fwd
8995,fwd
6995,fwd
852,4wd
22990,fwd
3750,4wd
57995,4wd
12690,fwd
15590,fwd
10000,fwd
8199,fwd
900,4wd
15950,4wd
27899,fwd
45590,fwd
5500,rwd
3300,fwd
36590,rwd
14590,4wd
9995,4wd
1900,rwd
39998,4wd
19590,4wd
1500,rwd
507,4wd
21973,fwd
33990,4wd
786,4wd
2500,fwd
15295,4wd
34990,4wd
13980,rwd
46999,4wd
14988,4wd
36990,4wd
3995,fwd
100,fwd
7900,rwd
16000,rwd
41590,fwd
17995,4wd
11700,fwd
1500,rwd
13195,4wd
11950,fwd
2700,rwd
5550,fwd
11598,fwd
39999,4wd
14999,4wd
7800,rwd
20995,fwd
68495,4wd
39900,rwd
5200,fwd
9500,rwd
28500,4wd
24990,fwd
5000,4wd
50995,4wd
6900,rwd
3500,fwd
63488,4wd
3200,fwd
24900,4wd
8995,fwd
17725,4wd
15990,4wd
28490,rwd
24495,4wd
4100,4wd
12500,fwd
26990,rwd
6568,4wd
5790,fwd
19500,fwd
8200,4wd
38590,4wd
9950,fwd
29990,4wd
9995,4wd
4950,4wd
20949,4wd
23500,fwd
8000,rwd
24995,4wd
16900,4wd
8999,fwd
1,4wd
33691,4wd
39590,4wd
11500,4wd
17498,4wd
17998,4wd
39495,4wd
20999,fwd
16000,rwd
2595,4wd
24736,fwd
3800,4wd
4500,4wd
26990,rwd
22590,4wd
11500,rwd
13990,4wd
19995,4wd
5000,4wd
20990,fwd
